ID,Male,FacialHair,Bald,Hat,Glasses,BlueEyes,BlondeHair,BlackHair,OrangeHair,BrownHair,WhiteHair,LookingStraight,FatLips,Frowning,CurlyHair,RosyCheeks,CleftChin,MiddlePart,SidePart,LargeNose,LongHair
Alex,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Alfred,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
Anita,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
Anne,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Bernard,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
Bill,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Charles,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
Claire,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Frank,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0
David,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Eric,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Frans,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
George,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Herman,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
Joe,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Maria,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Max,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0
Joe,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Paul,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
Peter,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
Philip,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
Richard,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Robert,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0
Sam,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Susan,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1
Tom,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Mario,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Sally,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1
Hans,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
Holly,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Luke,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Betty,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Frank,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Charles,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Paul,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
