ID,Male,FacialHair,Bald,Hat,Glasses,BlueEyes,BlondeHair,BlackHair,OrangeHair,BrownHair,WhiteHair,LookingStraight,TinyLips,FatLips,Frowning,CurlyHair
Alex,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Alfred,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0
Anita,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
Anne,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
Bernard,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
Bill,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0
Charles,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
Claire,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0
Frank,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
David,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Eric,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Frans,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
George,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Herman,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
Joe,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1
Maria,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
Max,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
Joe,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Paul,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
Peter,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
Philip,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Richard,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0
Robert,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
Sam,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0
Susan,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Tom,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0
Mario,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Sally,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
Hans,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
Holly,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Luke,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Betty,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1
Frank,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Charles,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0
Paul,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
